Version,File Name,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,NR,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Buggy
1,src/test/java/org/apache/avro/TestCompare.java,243.0,160.0,81.0,222.0,160.0,74.0,3.0,27.0,22.0,9.0,NO
1,src/test/java/org/apache/avro/TestDataFileReflect.java,183.0,142.0,61.0,176.0,142.0,58.666666666666664,3.0,34.0,22.0,11.333333333333332,NO
1,src/java/org/apache/avro/io/JsonDecoder.java,416.0,397.0,138.66666666666666,399.0,397.0,133.0,3.0,88.0,60.0,29.333333333333332,NO
1,src/java/org/apache/avro/ipc/RPCContext.java,149.0,149.0,149.0,149.0,149.0,149.0,1.0,11.0,11.0,11.0,NO
1,src/test/java/org/apache/avro/RPCMetaTestPlugin.java,176.0,176.0,176.0,176.0,176.0,176.0,1.0,11.0,11.0,11.0,NO
1,src/java/org/apache/avro/specific/SpecificData.java,77.0,67.0,38.5,71.0,67.0,35.5,2.0,26.0,22.0,13.0,NO
1,src/test/java/org/apache/avro/BarRecord.java,55.0,35.0,18.333333333333332,53.0,35.0,17.666666666666664,3.0,13.0,7.0,4.333333333333333,NO
1,src/test/java/org/apache/avro/FooRecord.java,48.0,33.0,24.0,47.0,33.0,23.5,2.0,6.0,5.0,3.0,NO
1,src/test/java/org/apache/avro/GenerateBlockingData.java,85.0,85.0,85.0,85.0,85.0,85.0,1.0,2.0,2.0,2.0,NO
1,src/java/org/apache/avro/io/JsonEncoder.java,248.0,239.0,82.66666666666666,241.0,239.0,80.33333333333333,3.0,88.0,60.0,29.333333333333332,NO
1,src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,103.0,102.0,51.5,103.0,102.0,51.5,2.0,83.0,60.0,41.5,NO
1,src/java/org/apache/avro/io/parsing/Parser.java,147.0,144.0,73.5,145.0,144.0,72.5,2.0,83.0,60.0,41.5,NO
1,src/java/org/apache/avro/io/parsing/Symbol.java,383.0,382.0,191.5,383.0,382.0,191.5,2.0,83.0,60.0,41.5,NO
1,src/java/org/apache/avro/ipc/RPCPlugin.java,74.0,74.0,74.0,74.0,74.0,74.0,1.0,11.0,11.0,11.0,NO
1,src/java/org/apache/avro/io/ParsingEncoder.java,70.0,52.0,23.33333333333333,70.0,52.0,23.33333333333333,3.0,84.0,60.0,27.999999999999996,NO
1,src/test/java/org/apache/avro/io/TestResolvingIO_resolving.java,120.0,103.0,60.0,120.0,103.0,60.0,2.0,15.0,14.0,7.5,NO
1,src/java/org/apache/avro/io/BinaryData.java,281.0,190.0,93.66666666666666,192.0,190.0,64.0,3.0,27.0,22.0,9.0,NO
1,src/java/org/apache/avro/generic/GenericContainer.java,27.0,27.0,27.0,27.0,27.0,27.0,1.0,22.0,22.0,22.0,NO
1,src/test/java/org/apache/avro/io/TestBlockingIO2.java,163.0,163.0,163.0,163.0,163.0,163.0,1.0,1.0,1.0,1.0,NO
1,src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,339.0,337.0,112.99999999999999,338.0,337.0,112.66666666666666,3.0,88.0,60.0,29.333333333333332,NO
1,src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,140.0,138.0,46.666666666666664,139.0,138.0,46.33333333333333,3.0,88.0,60.0,29.333333333333332,NO
1,src/test/java/org/apache/avro/TestProtocolGenericMeta.java,42.0,42.0,42.0,42.0,42.0,42.0,1.0,11.0,11.0,11.0,NO
1,src/test/java/org/apache/avro/TestProtocolReflectMeta.java,45.0,45.0,45.0,45.0,45.0,45.0,1.0,11.0,11.0,11.0,NO
1,src/test/java/org/apache/avro/TestProtocolSpecificMeta.java,46.0,46.0,46.0,46.0,46.0,46.0,1.0,11.0,11.0,11.0,NO
1,src/java/org/apache/avro/io/ParsingDecoder.java,75.0,74.0,37.5,75.0,74.0,37.5,2.0,83.0,60.0,41.5,NO
1,src/java/org/apache/avro/io/parsing/SkipParser.java,97.0,94.0,48.5,95.0,94.0,47.5,2.0,83.0,60.0,41.5,NO
1,src/java/org/apache/avro/reflect/ReflectData.java,93.0,40.0,23.25,61.0,27.0,15.25,4.0,92.0,60.0,23.0,NO
1,src/java/org/apache/avro/reflect/ReflectDatumReader.java,11.0,6.0,3.666666666666666,0.0,3.0,0.0,3.0,70.0,60.0,23.333333333333332,NO
1,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,30.0,16.0,4.285714285714286,-2.0,13.0,-0.28571428571428603,7.0,127.0,60.0,18.142857142857146,NO
1,src/test/java/org/apache/avro/TestReflect.java,125.0,69.0,31.249999999999996,100.0,54.0,24.999999999999996,4.0,46.0,22.0,11.5,NO
1,src/java/org/apache/avro/generic/GenericDatumReader.java,11.0,5.0,2.75,1.0,1.0,0.25,4.0,105.0,60.0,26.25,NO
1,src/java/org/apache/avro/generic/GenericDatumWriter.java,20.0,11.0,6.666666666666666,-61.0,7.0,-20.333333333333332,3.0,50.0,23.0,16.666666666666664,NO
1,src/java/org/apache/avro/io/Decoder.java,5.0,3.0,1.6666666666666665,-7.0,0.0,-2.333333333333333,3.0,85.0,60.0,28.333333333333332,NO
1,src/java/org/apache/avro/io/ParsingTable.java,0.0,0.0,0.0,-383.0,0.0,-383.0,1.0,23.0,23.0,23.0,NO
1,src/java/org/apache/avro/io/ResolvingDecoder.java,69.0,68.0,34.5,-19.0,1.0,-9.5,2.0,83.0,60.0,41.5,NO
1,src/java/org/apache/avro/io/ResolvingTable.java,0.0,0.0,0.0,-489.0,0.0,-489.0,1.0,23.0,23.0,23.0,NO
1,src/java/org/apache/avro/io/ValidatingDecoder.java,76.0,75.0,38.0,-128.0,1.0,-64.0,2.0,83.0,60.0,41.5,NO
1,src/java/org/apache/avro/io/ValidatingEncoder.java,83.0,82.0,41.5,-22.0,1.0,-11.0,2.0,83.0,60.0,41.5,NO
1,src/test/java/org/apache/avro/TestSchema.java,76.0,37.0,19.0,59.0,37.0,14.75,4.0,64.0,23.0,15.999999999999998,NO
1,src/test/java/org/apache/avro/io/TestParsingTable.java,0.0,0.0,0.0,-222.0,0.0,-222.0,1.0,23.0,23.0,23.0,NO
1,src/test/java/org/apache/avro/io/TestResolvingIO.java,193.0,153.0,96.5,-147.0,0.0,-73.5,2.0,37.0,23.0,18.5,NO
1,src/test/java/org/apache/avro/io/TestResolvingTable.java,0.0,0.0,0.0,-406.0,0.0,-406.0,1.0,23.0,23.0,23.0,NO
1,src/test/java/org/apache/avro/io/TestValidatingIO.java,437.0,363.0,218.5,197.0,172.0,98.5,2.0,37.0,23.0,18.5,NO
1,src/java/org/apache/avro/AvroRuntimeException.java,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/AvroTypeException.java,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/Protocol.java,5.0,3.0,2.5,3.0,2.0,1.5,2.0,61.0,60.0,30.5,NO
1,src/java/org/apache/avro/Schema.java,37.0,23.0,9.25,4.0,22.0,1.0,4.0,70.0,60.0,17.499999999999996,NO
1,src/java/org/apache/avro/SchemaParseException.java,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/file/DataFileReader.java,2.0,2.0,2.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/file/DataFileWriter.java,15.0,13.0,7.5,14.0,13.0,7.0,2.0,65.0,60.0,32.5,NO
1,src/java/org/apache/avro/file/SeekableFileInput.java,4.0,4.0,4.0,3.0,3.0,3.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/file/SeekableInput.java,6.0,3.0,3.0,1.0,1.0,0.5,2.0,67.0,60.0,33.5,NO
1,src/java/org/apache/avro/generic/GenericArray.java,2.0,1.0,1.0,1.0,1.0,0.5,2.0,82.0,60.0,41.0,NO
1,src/java/org/apache/avro/generic/GenericData.java,164.0,155.0,54.666666666666664,150.0,145.0,50.0,3.0,86.0,60.0,28.666666666666664,NO
1,src/java/org/apache/avro/generic/GenericFixed.java,1.0,1.0,1.0,0.0,0.0,0.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/generic/GenericRecord.java,3.0,2.0,1.5,-4.0,1.0,-2.0,2.0,82.0,60.0,41.0,NO
1,src/java/org/apache/avro/generic/GenericRequestor.java,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/generic/GenericResponder.java,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/io/BinaryDecoder.java,3.0,2.0,1.5,1.0,1.0,0.5,2.0,62.0,60.0,31.0,NO
1,src/java/org/apache/avro/io/BinaryEncoder.java,3.0,3.0,3.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,8.0,5.0,4.0,6.0,5.0,3.0,2.0,61.0,60.0,30.5,NO
1,src/java/org/apache/avro/io/DatumWriter.java,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/io/Encoder.java,1.0,1.0,1.0,0.0,0.0,0.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/ipc/AvroRemoteException.java,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/ipc/ByteBufferInputStream.java,2.0,2.0,2.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,7.0,7.0,7.0,4.0,4.0,4.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/ipc/Requestor.java,54.0,53.0,27.0,49.0,48.0,24.5,2.0,71.0,60.0,35.5,NO
1,src/java/org/apache/avro/ipc/Responder.java,58.0,40.0,29.0,48.0,36.0,24.0,2.0,71.0,60.0,35.5,NO
1,src/java/org/apache/avro/ipc/SocketServer.java,2.0,2.0,2.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/ipc/SocketTransceiver.java,4.0,4.0,4.0,2.0,2.0,2.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/ipc/Transceiver.java,3.0,3.0,3.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/reflect/FixedSize.java,10.0,6.0,5.0,7.0,4.0,3.5,2.0,67.0,60.0,33.5,NO
1,src/java/org/apache/avro/reflect/ReflectRequestor.java,34.0,18.0,8.5,29.0,16.0,7.25,4.0,100.0,60.0,24.999999999999996,NO
1,src/java/org/apache/avro/reflect/ReflectResponder.java,7.0,5.0,2.3333333333333335,5.0,4.0,1.6666666666666665,3.0,89.0,60.0,29.666666666666664,NO
1,src/java/org/apache/avro/specific/ProtocolTask.java,3.0,3.0,3.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/specific/SchemaTask.java,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/specific/SpecificCompiler.java,23.0,12.0,5.749999999999999,19.0,11.0,4.75,4.0,82.0,60.0,20.5,NO
1,src/java/org/apache/avro/specific/SpecificDatumReader.java,2.0,1.0,1.0,0.0,0.0,0.0,2.0,67.0,60.0,33.5,NO
1,src/java/org/apache/avro/specific/SpecificDatumWriter.java,2.0,1.0,1.0,0.0,0.0,0.0,2.0,67.0,60.0,33.5,NO
1,src/java/org/apache/avro/specific/SpecificExceptionBase.java,2.0,1.0,1.0,1.0,1.0,0.5,2.0,82.0,60.0,41.0,NO
1,src/java/org/apache/avro/specific/SpecificFixed.java,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,60.0,60.0,NO
1,src/java/org/apache/avro/specific/SpecificRecord.java,3.0,2.0,1.5,0.0,1.0,0.0,2.0,82.0,60.0,41.0,NO
1,src/java/org/apache/avro/specific/SpecificRecordBase.java,13.0,12.0,6.5,8.0,7.0,4.0,2.0,82.0,60.0,41.0,NO
1,src/java/org/apache/avro/specific/SpecificRequestor.java,36.0,13.0,7.199999999999999,25.0,13.0,5.000000000000001,5.0,107.0,60.0,21.4,NO
1,src/java/org/apache/avro/specific/SpecificResponder.java,2.0,1.0,1.0,0.0,0.0,0.0,2.0,67.0,60.0,33.5,NO
1,src/java/org/apache/avro/util/Utf8.java,12.0,8.0,6.0,7.0,5.0,3.5,2.0,82.0,60.0,41.0,NO
1,src/test/java/org/apache/avro/TestDataFile.java,4.0,4.0,4.0,0.0,0.0,0.0,1.0,14.0,14.0,14.0,NO
1,src/test/java/org/apache/avro/TestFsData.java,3.0,3.0,3.0,-2.0,0.0,-2.0,1.0,14.0,14.0,14.0,NO
1,src/test/java/org/apache/avro/TestProtocolGeneric.java,15.0,9.0,7.5,0.0,0.0,0.0,2.0,25.0,14.0,12.5,NO
1,src/test/java/org/apache/avro/TestProtocolReflect.java,2.0,2.0,2.0,0.0,0.0,0.0,1.0,14.0,14.0,14.0,NO
1,src/test/java/org/apache/avro/TestProtocolSpecific.java,8.0,7.0,4.0,0.0,0.0,0.0,2.0,25.0,14.0,12.5,NO
1,src/test/java/org/apache/avro/io/TestBinaryDecoder.java,10.0,10.0,10.0,0.0,0.0,0.0,1.0,14.0,14.0,14.0,NO
1,src/test/java/org/apache/avro/io/TestBlockingIO.java,45.0,45.0,45.0,16.0,16.0,16.0,1.0,14.0,14.0,14.0,NO
1,src/test/java/org/apache/avro/test/TestInvocationReporter.java,0.0,0.0,0.0,-35.0,0.0,-35.0,1.0,14.0,14.0,14.0,NO
1,src/test/java/org/apache/avro/test/TestOutputInterceptor.java,0.0,0.0,0.0,-39.0,0.0,-39.0,1.0,14.0,14.0,14.0,NO
1,src/test/java/org/apache/avro/test/TestSuiteInterceptor.java,0.0,0.0,0.0,-39.0,0.0,-39.0,1.0,14.0,14.0,14.0,NO
1,src/test/java/org/apache/avro/RandomData.java,2.0,2.0,2.0,1.0,1.0,1.0,1.0,22.0,22.0,22.0,NO
2,src/test/java/org/apache/avro/TestCompare.java,14.0,14.0,14.0,3.0,3.0,3.0,1.0,24.0,24.0,24.0,NO
2,src/test/java/org/apache/avro/TestDataFileReflect.java,61.0,58.0,30.5,58.0,58.0,29.0,2.0,24.0,24.0,12.0,NO
2,src/java/org/apache/avro/io/JsonDecoder.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,src/java/org/apache/avro/ipc/RPCContext.java,18.0,18.0,18.0,0.0,0.0,0.0,1.0,11.0,11.0,11.0,NO
2,src/test/java/org/apache/avro/RPCMetaTestPlugin.java,17.0,17.0,17.0,-2.0,0.0,-2.0,1.0,11.0,11.0,11.0,NO
2,src/java/org/apache/avro/file/DataFileConstants.java,38.0,38.0,38.0,38.0,38.0,38.0,1.0,2.0,2.0,2.0,NO
2,src/java/org/apache/avro/specific/SpecificData.java,28.0,28.0,28.0,27.0,27.0,27.0,1.0,24.0,24.0,24.0,NO
2,src/test/java/org/apache/avro/BarRecord.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,src/java/org/apache/avro/ipc/HttpTransceiver.java,120.0,116.0,40.0,118.0,116.0,39.33333333333333,3.0,6.0,2.0,2.0,NO
2,src/test/java/org/apache/avro/FooRecord.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,src/test/java/org/apache/avro/GenerateBlockingData.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
2,src/test/java/org/apache/avro/TestBulkData.java,110.0,110.0,110.0,110.0,110.0,110.0,1.0,2.0,2.0,2.0,NO
2,src/test/java/org/apache/avro/TestNamespaceSpecific.java,98.0,98.0,98.0,98.0,98.0,98.0,1.0,24.0,24.0,24.0,NO
2,src/test/java/org/apache/avro/TestProtocolHttp.java,41.0,41.0,41.0,41.0,41.0,41.0,1.0,2.0,2.0,2.0,NO
2,src/java/org/apache/avro/ipc/HttpServer.java,85.0,76.0,42.5,59.0,76.0,29.5,2.0,4.0,2.0,2.0,NO
