Version,File Name,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,NR,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,589.0,550.0,196.33333333333331,576.0,550.0,192.0,3.0,35.0,24.0,11.666666666666666,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,161.0,157.0,53.666666666666664,158.0,157.0,52.666666666666664,3.0,20.0,10.0,6.666666666666666,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java,617.0,394.0,68.55555555555556,582.0,394.0,64.66666666666667,9.0,66.0,17.0,7.333333333333332,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,202.0,195.0,101.0,196.0,195.0,98.0,2.0,23.0,17.0,11.5,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,400.0,227.0,100.0,379.0,211.0,94.75,4.0,43.0,24.0,10.75,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/LedgerCacheTest.java,210.0,127.0,70.0,210.0,127.0,70.0,3.0,9.0,7.0,3.0,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTest.java,88.0,88.0,88.0,88.0,88.0,88.0,1.0,5.0,5.0,5.0,NO
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,534.0,425.0,106.80000000000001,451.0,425.0,90.2,5.0,16.0,6.0,3.2,NO
1,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java,220.0,211.0,54.999999999999986,216.0,211.0,54.0,4.0,10.0,5.0,2.5,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,545.0,378.0,77.85714285714286,509.0,378.0,72.71428571428571,7.0,48.0,24.0,6.857142857142858,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,118.0,113.0,59.0,88.0,113.0,44.0,2.0,13.0,8.0,6.5,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java,55.0,53.0,27.5,52.0,53.0,26.0,2.0,13.0,8.0,6.5,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java,332.0,317.0,110.66666666666667,319.0,317.0,106.33333333333333,3.0,32.0,17.0,10.666666666666666,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/GcLedgersTest.java,167.0,167.0,167.0,167.0,167.0,167.0,1.0,5.0,5.0,5.0,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookKeeperClusterTestCase.java,345.0,336.0,114.99999999999999,339.0,336.0,113.0,3.0,23.0,10.0,7.666666666666666,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,212.0,183.0,52.99999999999999,187.0,183.0,46.75,4.0,28.0,14.0,7.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,841.0,712.0,120.14285714285714,788.0,712.0,112.57142857142857,7.0,47.0,24.0,6.7142857142857135,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,91.0,91.0,91.0,91.0,91.0,91.0,1.0,8.0,8.0,8.0,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerManagerTestCase.java,77.0,77.0,77.0,77.0,77.0,77.0,1.0,5.0,5.0,5.0,NO
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,227.0,177.0,75.66666666666666,215.0,177.0,71.66666666666666,3.0,9.0,5.0,3.0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/ClientUtil.java,30.0,30.0,30.0,30.0,30.0,30.0,1.0,4.0,4.0,4.0,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestReadTimeout.java,106.0,101.0,35.333333333333336,101.0,101.0,33.666666666666664,3.0,20.0,10.0,6.666666666666666,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ZooKeeperUtil.java,163.0,133.0,54.33333333333333,163.0,133.0,54.33333333333333,3.0,22.0,17.0,7.333333333333332,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java,55.0,55.0,55.0,55.0,55.0,55.0,1.0,6.0,6.0,6.0,NO
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,284.0,260.0,142.0,271.0,260.0,135.5,2.0,8.0,5.0,4.0,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/UpgradeTest.java,263.0,143.0,52.6,249.0,133.0,49.8,5.0,46.0,17.0,9.2,NO
