dataset,#trainingRelease,%training,%defectiveInTraining,%defectiveInTesting,classifier,balancing,featureSelection,TP,FP,TN,FN,precision,recall,ROC_Area,kappa
Bookkeeper,1,5.110274255275726,2.631578966975212,5.102040991187096,randomForest,noSampling,noFeatureSel,2.0,3.0,369.0,18.0,0.925249169435216,0.9464285714285714,0.5895229866140004,0.1424999999999995
Bookkeeper,2,15.653577446937561,4.295532777905464,7.4418604373931885,randomForest,noSampling,noFeatureSel,12.0,0.0,199.0,4.0,0.9817619429487914,0.9813953488372092,0.9981155778894472,0.847409510290986
Bookkeeper,3,21.436256170272827,5.144290998578072,2.132701501250267,randomForest,noSampling,noFeatureSel,0.0,16.0,397.0,9.0,0.9569782644222912,0.9407582938388626,0.2189909433663952,-0.028064704735919314
Bookkeeper,4,32.78644382953644,4.101722687482834,3.4168563783168793,randomForest,noSampling,noFeatureSel,0.0,11.0,413.0,15.0,0.9319822025418858,0.9407744874715261,0.8147798742138364,-0.029772645254421345
Bookkeeper,5,44.59386765956879,3.9203859865665436,57.82880783081055,randomForest,noSampling,noFeatureSel,3.0,7.0,195.0,274.0,0.34882506643638356,0.4133611691022965,0.4090488921596274,-0.020207226395215723
Bookkeeper,6,57.47714042663574,16.003744304180145,58.33333134651184,randomForest,noSampling,noFeatureSel,245.0,2.0,203.0,42.0,0.9238480817428185,0.9105691056910569,0.9628452451771905,0.8210169491525423
Bookkeeper,7,70.71005702018738,23.925447463989258,50.18726587295532,randomForest,noSampling,noFeatureSel,235.0,20.0,246.0,33.0,0.9017191508716571,0.900749063670412,0.9304791830322072,0.8015315353220851
Bookkeeper,1,5.110274255275726,2.631578966975212,5.102040991187096,naiveBayes,noSampling,noFeatureSel,0.0,0.0,372.0,20.0,NaN,0.9489795918367347,0.5834677419354839,0.0
Bookkeeper,2,15.653577446937561,4.295532777905464,7.4418604373931885,naiveBayes,noSampling,noFeatureSel,0.0,0.0,199.0,16.0,NaN,0.9255813953488372,0.9987437185929648,0.0
Bookkeeper,3,21.436256170272827,5.144290998578072,2.132701501250267,naiveBayes,noSampling,noFeatureSel,0.0,0.0,413.0,9.0,NaN,0.9786729857819905,0.18011837503362926,0.0
Bookkeeper,4,32.78644382953644,4.101722687482834,3.4168563783168793,naiveBayes,noSampling,noFeatureSel,0.0,0.0,424.0,15.0,NaN,0.9658314350797267,0.7376249982091946,0.0
Bookkeeper,5,44.59386765956879,3.9203859865665436,57.82880783081055,naiveBayes,noSampling,noFeatureSel,0.0,0.0,202.0,277.0,NaN,0.42171189979123175,0.4161630904240383,0.0
Bookkeeper,6,57.47714042663574,16.003744304180145,58.33333134651184,naiveBayes,noSampling,noFeatureSel,249.0,117.0,88.0,38.0,0.6878632145025587,0.6849593495934959,0.7798249341378432,0.31415929203539816
Bookkeeper,7,70.71005702018738,23.925447463989258,50.18726587295532,naiveBayes,noSampling,noFeatureSel,239.0,120.0,146.0,29.0,0.7496963058015921,0.7209737827715356,0.8737498355565251,0.44122645617090606
Bookkeeper,1,5.110274255275726,2.631578966975212,5.102040991187096,ibk,noSampling,noFeatureSel,2.0,3.0,369.0,18.0,0.925249169435216,0.9464285714285714,0.5834677419354839,0.1424999999999995
Bookkeeper,2,15.653577446937561,4.295532777905464,7.4418604373931885,ibk,noSampling,noFeatureSel,12.0,0.0,199.0,4.0,0.9817619429487914,0.9813953488372092,0.9987437185929648,0.847409510290986
Bookkeeper,3,21.436256170272827,5.144290998578072,2.132701501250267,ibk,noSampling,noFeatureSel,0.0,16.0,397.0,9.0,0.9569782644222912,0.9407582938388626,0.18011837503362926,-0.028064704735919314
Bookkeeper,4,32.78644382953644,4.101722687482834,3.4168563783168793,ibk,noSampling,noFeatureSel,0.0,9.0,415.0,15.0,0.9321396408327595,0.9453302961275627,0.8056603773584906,-0.02630040911747415
Bookkeeper,5,44.59386765956879,3.9203859865665436,57.82880783081055,ibk,noSampling,noFeatureSel,2.0,3.0,199.0,275.0,0.4083630629916405,0.4196242171189979,0.41836151124137677,-0.006454636152008962
Bookkeeper,6,57.47714042663574,16.003744304180145,58.33333134651184,ibk,noSampling,noFeatureSel,250.0,53.0,152.0,37.0,0.8163951315766498,0.8170731707317073,0.9241692869890371,0.6194503171247356
Bookkeeper,7,70.71005702018738,23.925447463989258,50.18726587295532,ibk,noSampling,noFeatureSel,237.0,37.0,229.0,31.0,0.8728367684695086,0.8726591760299626,0.9284381663113005,0.7452933419376562
Bookkeeper,1,5.110274255275726,2.631578966975212,5.102040991187096,randomForest,oversampling,noFeatureSel,1.0,12.0,360.0,19.0,0.9053300638298752,0.9209183673469388,0.6094758064516129,0.0212628865979375
Bookkeeper,2,15.653577446937561,4.295532777905464,7.4418604373931885,randomForest,oversampling,noFeatureSel,16.0,1.0,198.0,0.0,0.9956224350205198,0.9953488372093023,0.9974874371859297,0.9671805831170814
Bookkeeper,3,21.436256170272827,5.144290998578072,2.132701501250267,randomForest,oversampling,noFeatureSel,1.0,45.0,368.0,8.0,0.958313787041137,0.8744075829383886,0.2597524885660479,7.148601554821915E-4
Bookkeeper,4,32.78644382953644,4.101722687482834,3.4168563783168793,randomForest,oversampling,noFeatureSel,9.0,75.0,349.0,6.0,0.9531684411709437,0.8154897494305239,0.7983490566037736,0.1314574631787205
Bookkeeper,5,44.59386765956879,3.9203859865665436,57.82880783081055,randomForest,oversampling,noFeatureSel,12.0,39.0,163.0,265.0,0.29667302114883376,0.3653444676409186,0.44617006827036493,-0.13005013270421703
Bookkeeper,6,57.47714042663574,16.003744304180145,58.33333134651184,randomForest,oversampling,noFeatureSel,271.0,41.0,164.0,16.0,0.88630698005698,0.8841463414634146,0.9650888076825019,0.7574468085106383
Bookkeeper,7,70.71005702018738,23.925447463989258,50.18726587295532,randomForest,oversampling,noFeatureSel,246.0,72.0,194.0,22.0,0.8356332624052221,0.8239700374531835,0.9337125462911009,0.6476880316684915
Bookkeeper,1,5.110274255275726,2.631578966975212,5.102040991187096,naiveBayes,oversampling,noFeatureSel,3.0,29.0,343.0,17.0,0.9089498299319728,0.8826530612244898,0.6183076859776169,0.056113902847571305
Bookkeeper,2,15.653577446937561,4.295532777905464,7.4418604373931885,naiveBayes,oversampling,noFeatureSel,16.0,2.0,197.0,0.0,0.9917312661498708,0.9906976744186047,0.9970163316582915,0.9361449361449363
Bookkeeper,3,21.436256170272827,5.144290998578072,2.132701501250267,naiveBayes,oversampling,noFeatureSel,0.0,62.0,351.0,9.0,0.9542061611374408,0.8317535545023697,0.45735808447672854,-0.03868820633710083
Bookkeeper,4,32.78644382953644,4.101722687482834,3.4168563783168793,naiveBayes,oversampling,noFeatureSel,10.0,21.0,403.0,5.0,0.9650173832483981,0.9407744874715261,0.79937106918239,0.4074958471760792
Bookkeeper,5,44.59386765956879,3.9203859865665436,57.82880783081055,naiveBayes,oversampling,noFeatureSel,182.0,97.0,105.0,95.0,0.5986332787093782,0.5991649269311065,0.5510151195624977,0.1770790457953792
Bookkeeper,6,57.47714042663574,16.003744304180145,58.33333134651184,naiveBayes,oversampling,noFeatureSel,268.0,160.0,45.0,19.0,0.6582335475077882,0.6361788617886179,0.8344869833715759,0.17001545595054102
Bookkeeper,7,70.71005702018738,23.925447463989258,50.18726587295532,naiveBayes,oversampling,noFeatureSel,253.0,183.0,83.0,15.0,0.7131076324973862,0.6292134831460674,0.8642686710067135,0.2566647919010124
